,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
0,VIRTUALUSDTUSDT,1.53146535,1.50926982268245,2025-05-01 00:15:00,2025-05-01 00:15:00,-2.140821928571422,97.7877851964375,Stop Loss,0 days 00:00:00,76.96268675661722,34.333234674307654,4.230357106922427,0.026786880961714457
1,AIXBTUSDTUSDT,0.168914415,0.16646633838340502,2025-05-01 00:30:00,2025-05-01 00:30:00,-2.0934623489496413,95.62450933624602,Stop Loss,0 days 00:00:00,81.36864723758848,32.78365873973968,3.7642560218207994,0.005329859054838233
2,FETUSDTUSDT,0.75227595,0.7842790870553554,2025-05-01 00:45:00,2025-05-01 01:00:00,5.740268441763424,101.29650869159819,Smart Trailing (Max 92%),0 days 00:15:00,71.82808884054921,28.598194141573206,3.061408788474453,0.005452127659574458
3,FETUSDTUSDT,0.78069015,0.78186040453485,2025-05-01 01:15:00,2025-05-01 01:15:00,0.1444561292137706,101.36864633099144,Smart Break-even,0 days 00:00:00,83.37089218966622,36.298563479621606,4.041690665170952,0.00820092260379302
4,FARTCOINUSDTUSDT,1.25912925,1.2610166847457502,2025-05-01 05:15:00,2025-05-01 05:45:00,0.14455900269179492,101.44083534272801,Smart Break-even,0 days 00:30:00,65.57383681043545,36.521098936360374,2.8033376555893534,0.021932612841703805
5,FETUSDTUSDT,0.77428695,0.7630652092336501,2025-05-01 07:15:00,2025-05-01 07:45:00,-2.1716676475431385,99.19674616641873,Stop Loss,0 days 00:30:00,66.55000661171863,26.778781636323735,2.6415658302070937,0.0074954768674074905
6,SUSDTUSDT,0.5348672999999999,0.5440896039470162,2025-05-01 08:15:00,2025-05-01 08:30:00,2.3713133667105595,101.4264712751698,Smart Trailing (Max 43%),0 days 00:15:00,87.8464989523429,27.308067359844852,7.707286140128971,0.0022442491116515615
7,SUSDTUSDT,0.54317145,0.5545418671796656,2025-05-01 08:45:00,2025-05-01 08:45:00,2.9591779356456613,104.31323793697011,Smart Trailing (Max 51%),0 days 00:00:00,85.96623432496634,36.62648831069275,2.5774202777263318,0.006816507000736988
8,SUSDTUSDT,0.5514756,0.5523022619244,2025-05-01 09:00:00,2025-05-01 09:00:00,0.14875820275315849,104.38752392016379,Smart Break-even,0 days 00:00:00,88.21278444491055,39.647164457419414,3.5691735287257678,0.010157808815526824
9,SOLUSDTUSDT,150.86539499999998,151.09154222710498,2025-05-01 08:30:00,2025-05-01 09:45:00,0.14136072278367412,104.45435938848885,Smart Break-even,0 days 01:15:00,72.38172731306427,28.78795262467677,3.458907075481386,0.0012600305060017092
10,FARTCOINUSDTUSDT,1.2700347,1.2719384820153001,2025-05-01 09:45:00,2025-05-01 09:45:00,0.14886413992438696,104.60322352841324,Smart Break-even,0 days 00:00:00,65.8255104309506,37.1979726493859,2.6545801201064307,0.015120491415970928
11,VIRTUALUSDTUSDT,1.6845418499999998,1.7314112281674783,2025-05-01 10:15:00,2025-05-01 10:30:00,4.0809166711417575,108.53483501799704,Smart Trailing (Max 64%),0 days 00:15:00,68.22351004357456,26.701729474542635,3.345660686415507,0.005583273936802136
12,AIXBTUSDTUSDT,0.1890945,0.1863539534115,2025-05-01 10:30:00,2025-05-01 10:30:00,-2.2377699975585186,106.29706502043852,Stop Loss,0 days 00:00:00,74.67618856928199,28.351558054376028,2.5483432320866766,0.01079650701243708
13,VIRTUALUSDTUSDT,1.7091541499999998,1.7581790001480737,2025-05-01 10:45:00,2025-05-01 11:15:00,4.277598826178707,110.42294096412267,Smart Trailing (Max 65%),0 days 00:30:00,68.71277996421962,36.44670749467121,2.7237577932761856,0.01756234632946963
14,ETHUSDTUSDT,1849.074075,1851.845837038425,2025-05-01 11:15:00,2025-05-01 12:00:00,0.15147906077346507,110.49558591269215,Smart Break-even,0 days 00:45:00,80.43448386355584,45.31810385455698,3.447148743821349,0.005724643562481361
15,APTUSDTUSDT,5.55207465,5.5603972099003505,2025-05-01 11:45:00,2025-05-01 12:30:00,0.15747108004131405,110.57417101721217,Smart Break-even,0 days 00:45:00,77.66438776966467,40.169437021345,2.981229267272912,0.000648707090728823
16,INJUSDTUSDT,10.481238000000001,10.329333417666001,2025-05-01 12:30:00,2025-05-01 13:30:00,-2.36551373332238,108.20865728388979,Stop Loss,0 days 01:00:00,66.74768895795569,52.016185977381944,2.657842278204902,0.012982054219167547
17,AIXBTUSDTUSDT,0.20168079,0.21125459486250003,2025-05-01 14:15:00,2025-05-01 14:15:00,7.251964379313165,115.30617027368604,Smart Trailing (Max 101%),0 days 00:00:00,70.76502285058396,39.483537063501046,3.4606472353237137,0.012308914036132669
18,AAVEUSDTUSDT,174.99745499999997,175.99838229643808,2025-05-01 13:45:00,2025-05-01 14:30:00,0.8064339684266036,116.03028385211215,Smart Trailing (Max 39%),0 days 00:45:00,67.80464866435575,47.118724448439096,3.4273720890906705,0.004116638078902223
19,AIXBTUSDTUSDT,0.20906448,0.21359948880159557,2025-05-01 14:30:00,2025-05-01 14:30:00,3.4890112614086295,119.51929511352078,Smart Trailing (Max 52%),0 days 00:00:00,75.93992873314842,40.92107857579102,4.422457782428918,0.013779245012200342
20,AIXBTUSDTUSDT,0.21291640499999998,0.20983060754233498,2025-05-01 14:45:00,2025-05-01 14:45:00,-2.5586952786642536,116.8752715739059,Stop Loss,0 days 00:00:00,78.4789948110362,44.968985529179314,3.0960539777200937,0.007941356139279156
21,LTCUSDTUSDT,88.01398499999999,89.11057937777831,2025-05-01 15:30:00,2025-05-01 16:15:00,1.9943189602472424,118.70276887174772,Smart Trailing (Max 71%),0 days 00:45:00,71.04651646137589,35.77422916403458,3.136759904995892,0.002046384720327499
22,SUSDTUSDT,0.5978988,0.5892334526915999,2025-05-01 16:45:00,2025-05-01 16:45:00,-2.541214905827838,116.07680864652832,Stop Loss,0 days 00:00:00,76.61180852302924,53.413299481115736,6.443339373380618,0.009705488621151318
23,TURBOUSDTUSDT,0.0049287631499999995,0.00506569258665,2025-05-01 22:00:00,2025-05-01 22:00:00,4.5216581079569105,120.51559618359458,Smart Trailing (Max 147%),0 days 00:00:00,80.10386259550492,31.852139940356867,4.5465735248610954,0.0058054563169860655
